"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "XML", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-ch.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 3, 27
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 3, 33
